split,model,strategy,match_id,season,selection,model_probability,market_probability,estimated_edge,odds,actual_result,won,profit
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-11-26|Arsenal|Fulham,2011/12,D,0.2906893915634854,0.225140712945591,0.0655486786178944,4.2,D,True,3.2
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-11-26|Bolton|Everton,2011/12,A,0.45360554809785975,0.39999205971097346,0.05361348838688629,2.38,A,True,1.38
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-11-26|Chelsea|Wolves,2011/12,A,0.11874703972136219,0.06331084587441618,0.05543619384694601,15.0,H,False,-1.0
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-11-26|Man United|Newcastle,2011/12,H,0.7498047662212093,0.6775907883082374,0.0722139779129719,1.4,D,False,-1.0
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-11-26|Stoke|Blackburn,2011/12,A,0.28194851520347725,0.21076011846001974,0.0711883967434575,4.5,H,False,-1.0
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-11-26|Sunderland|Wigan,2011/12,A,0.26295951128657585,0.17178615309883705,0.0911733581877388,5.5,A,True,4.5
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-11-26|West Brom|Tottenham,2011/12,D,0.3215075889857638,0.2642135841748513,0.05729400481091251,3.6,A,False,-1.0
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-11-27|Liverpool|Man City,2011/12,D,0.394475099370392,0.2958259197905802,0.09864917957981179,3.2,D,True,2.2
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-11-27|Swansea|Aston Villa,2011/12,D,0.3533148273101395,0.29127725856697817,0.06203756874316135,3.25,D,True,2.25
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-12-03|Blackburn|Swansea,2011/12,A,0.37685424493757164,0.2705570291777188,0.10629721575985285,3.5,H,False,-1.0
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-12-03|QPR|West Brom,2011/12,D,0.3409889790036734,0.2871870397643594,0.053801939239314034,3.3,D,True,2.3
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-12-03|Tottenham|Bolton,2011/12,A,0.1428486445968307,0.07917174177831912,0.06367690281851157,12.0,H,False,-1.0
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-12-03|Wigan|Arsenal,2011/12,A,0.7568848159178705,0.6045340050377834,0.15235081088008706,1.57,A,True,0.5700000000000001
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-12-04|Everton|Stoke,2011/12,H,0.6384527290752993,0.5657627796668286,0.07268994940847062,1.67,A,False,-1.0
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-12-04|Wolves|Sunderland,2011/12,D,0.37869548138675446,0.2877697841726619,0.09092569721409255,3.3,H,False,-1.0
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-12-05|Fulham|Liverpool,2011/12,H,0.3331545589407409,0.2705570291777188,0.06259752976302213,3.5,H,True,2.5
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-12-10|Bolton|Aston Villa,2011/12,D,0.3569416760653243,0.2885308968502044,0.0684107792151199,3.3,A,False,-1.0
