season,date,home_team,away_team,full_time_home_goals,full_time_away_goals,full_time_result,half_time_home_goals,half_time_away_goals,half_time_result,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_corners,away_corners,home_fouls,away_fouls,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_odds,draw_odds,away_odds,source,match_date,match_id
2017/18,09/12/2017,Huddersfield,Brighton,2,0,H,2,0,H,19,7,6,2,8,1,6,10,0,0,0,0,2.7,3.1,3.0,Football-Data.co.uk,2017-12-09,2017/18|2017-12-09|Huddersfield|Brighton
2017/18,09/12/2017,Newcastle,Leicester,2,3,A,1,1,D,10,13,4,5,6,5,10,9,2,1,0,0,2.62,3.29,2.89,Football-Data.co.uk,2017-12-09,2017/18|2017-12-09|Newcastle|Leicester
2017/18,09/12/2017,Swansea,West Brom,1,0,H,0,0,D,18,7,3,1,6,3,8,18,2,5,0,0,2.7,3.1,3.0,Football-Data.co.uk,2017-12-09,2017/18|2017-12-09|Swansea|West Brom
2017/18,09/12/2017,Tottenham,Stoke,5,1,H,1,0,H,20,4,11,3,12,6,12,9,1,0,0,0,1.28,6.5,11.0,Football-Data.co.uk,2017-12-09,2017/18|2017-12-09|Tottenham|Stoke
2017/18,09/12/2017,West Ham,Chelsea,1,0,H,1,0,H,5,19,2,2,4,3,10,10,6,1,0,0,7.5,4.5,1.5,Football-Data.co.uk,2017-12-09,2017/18|2017-12-09|West Ham|Chelsea
2017/18,10/12/2017,Liverpool,Everton,1,1,D,1,0,H,23,3,3,2,12,1,8,11,1,3,0,0,1.3,6.0,11.0,Football-Data.co.uk,2017-12-10,2017/18|2017-12-10|Liverpool|Everton
2017/18,10/12/2017,Man United,Man City,1,2,A,1,1,D,8,14,5,7,2,8,16,10,4,2,0,0,3.39,3.5,2.25,Football-Data.co.uk,2017-12-10,2017/18|2017-12-10|Man United|Man City
2017/18,10/12/2017,Southampton,Arsenal,1,1,D,1,0,H,6,11,3,6,4,5,12,10,2,2,0,0,4.0,3.75,1.95,Football-Data.co.uk,2017-12-10,2017/18|2017-12-10|Southampton|Arsenal
2017/18,12/12/2017,Burnley,Stoke,1,0,H,0,0,D,10,14,2,7,6,4,6,14,0,0,0,0,2.29,3.2,3.6,Football-Data.co.uk,2017-12-12,2017/18|2017-12-12|Burnley|Stoke
2017/18,12/12/2017,Crystal Palace,Watford,2,1,H,0,1,A,14,7,4,2,4,6,14,18,2,1,0,1,2.29,3.5,3.25,Football-Data.co.uk,2017-12-12,2017/18|2017-12-12|Crystal Palace|Watford
2017/18,12/12/2017,Huddersfield,Chelsea,1,3,A,0,2,A,7,12,2,5,1,3,11,4,0,0,0,0,9.0,4.5,1.44,Football-Data.co.uk,2017-12-12,2017/18|2017-12-12|Huddersfield|Chelsea
2017/18,13/12/2017,Liverpool,West Brom,0,0,D,0,0,D,14,6,5,1,5,7,16,6,1,0,0,0,1.22,7.0,15.0,Football-Data.co.uk,2017-12-13,2017/18|2017-12-13|Liverpool|West Brom
2017/18,13/12/2017,Man United,Bournemouth,1,0,H,1,0,H,9,14,2,7,4,9,14,12,1,2,0,0,1.28,6.0,12.0,Football-Data.co.uk,2017-12-13,2017/18|2017-12-13|Man United|Bournemouth
2017/18,13/12/2017,Newcastle,Everton,0,1,A,0,1,A,16,7,4,4,4,1,10,11,1,2,1,0,2.39,3.29,3.25,Football-Data.co.uk,2017-12-13,2017/18|2017-12-13|Newcastle|Everton
2017/18,13/12/2017,Southampton,Leicester,1,4,A,0,3,A,12,16,4,11,9,9,13,9,1,0,0,0,2.1,3.39,3.89,Football-Data.co.uk,2017-12-13,2017/18|2017-12-13|Southampton|Leicester
2017/18,13/12/2017,Swansea,Man City,0,4,A,0,2,A,7,23,3,10,2,5,12,6,0,0,0,0,15.0,6.5,1.25,Football-Data.co.uk,2017-12-13,2017/18|2017-12-13|Swansea|Man City
2017/18,13/12/2017,Tottenham,Brighton,2,0,H,1,0,H,25,7,8,4,10,2,5,10,1,1,0,0,1.25,6.5,15.0,Football-Data.co.uk,2017-12-13,2017/18|2017-12-13|Tottenham|Brighton
2017/18,13/12/2017,West Ham,Arsenal,0,0,D,0,0,D,6,22,0,3,1,7,9,9,1,0,0,0,5.25,4.2,1.66,Football-Data.co.uk,2017-12-13,2017/18|2017-12-13|West Ham|Arsenal
2017/18,16/12/2017,Arsenal,Newcastle,1,0,H,1,0,H,23,10,5,2,7,5,13,9,2,1,0,0,1.25,6.5,14.0,Football-Data.co.uk,2017-12-16,2017/18|2017-12-16|Arsenal|Newcastle
2017/18,16/12/2017,Brighton,Burnley,0,0,D,0,0,D,12,11,2,6,8,2,13,13,4,2,0,0,2.62,3.0,3.2,Football-Data.co.uk,2017-12-16,2017/18|2017-12-16|Brighton|Burnley
2017/18,16/12/2017,Chelsea,Southampton,1,0,H,1,0,H,24,6,8,2,8,4,8,16,1,3,0,0,1.39,5.0,9.0,Football-Data.co.uk,2017-12-16,2017/18|2017-12-16|Chelsea|Southampton
2017/18,16/12/2017,Leicester,Crystal Palace,0,3,A,0,2,A,11,13,2,6,6,4,12,13,2,2,1,0,1.89,3.6,4.5,Football-Data.co.uk,2017-12-16,2017/18|2017-12-16|Leicester|Crystal Palace
2017/18,16/12/2017,Man City,Tottenham,4,1,H,1,0,H,20,7,11,2,5,1,13,20,2,4,0,0,1.55,4.59,6.0,Football-Data.co.uk,2017-12-16,2017/18|2017-12-16|Man City|Tottenham
2017/18,16/12/2017,Stoke,West Ham,0,3,A,0,1,A,17,14,0,7,7,9,12,13,2,1,0,0,2.29,3.29,3.5,Football-Data.co.uk,2017-12-16,2017/18|2017-12-16|Stoke|West Ham
2017/18,16/12/2017,Watford,Huddersfield,1,4,A,0,2,A,13,15,3,9,8,7,12,17,2,1,1,1,1.8,3.75,5.0,Football-Data.co.uk,2017-12-16,2017/18|2017-12-16|Watford|Huddersfield
2017/18,17/12/2017,Bournemouth,Liverpool,0,4,A,0,3,A,6,21,2,7,2,3,5,10,1,1,0,0,6.5,4.5,1.53,Football-Data.co.uk,2017-12-17,2017/18|2017-12-17|Bournemouth|Liverpool
2017/18,17/12/2017,West Brom,Man United,1,2,A,0,2,A,12,8,5,3,6,3,14,7,1,3,0,0,6.5,4.0,1.6,Football-Data.co.uk,2017-12-17,2017/18|2017-12-17|West Brom|Man United
2017/18,18/12/2017,Everton,Swansea,3,1,H,1,1,D,12,8,7,3,6,3,12,12,2,3,0,0,1.72,3.75,5.5,Football-Data.co.uk,2017-12-18,2017/18|2017-12-18|Everton|Swansea
